,0,1,2,3,4,5,6
0,1.0,Anders Mol,Christian Sorum,Norway,1,"$30,000.00",1200.0
1,2.0,David Ahman,Jonatan Hellvig,Sweden,8,"$20,000.00",1100.0
2,3.0,Adrian Carambula,Alex Ranghieri,Italy,"12, Q1","$14,000.00",1000.0
3,4.0,Michal Bryl,Bartosz Losiak,Poland,7,"$10,000.00",900.0
4,5.0,Alexander Brouwer,Robert Meeuwsen,Netherlands,3,"$8,000.00",760.0
5,5.0,Esteban Grimalt,Marco Grimalt,Chile,6,"$8,000.00",760.0
6,5.0,Nils Ehlers,Clemens Wickler,Germany,10,"$8,000.00",760.0
7,5.0,Adrian Gavira,Pablo Herrera,Spain,"14, Q4","$8,000.00",760.0
8,9.0,Vitor Felipe,Renato Lima,Brazil,2,"$6,000.00",600.0
9,9.0,Ahmed Tijan,Cherif Younousse,Qatar,4,"$6,000.00",600.0
10,9.0,Andre Loyola,George Wanderley,Brazil,5,"$6,000.00",600.0
11,9.0,Samuele Cottafava,Paolo Nicolai,Italy,9,"$6,000.00",600.0
12,13.0,Assam Mahmoud,Abdallah Nassim,Qatar,11,"$5,000.00",460.0
13,13.0,Paul Burnett,Christopher McHugh,Australia,"13, Q3","$5,000.00",460.0
14,13.0,Saymon Barbosa,Vinicius Rezende,Brazil,"15, Q5","$5,000.00",460.0
15,13.0,Jan Dumek,Jiri Sedlak,Czech Republic,"16, Q10","$5,000.00",460.0
16,17.0,Robin Seidl,Philipp Waller,Austria,Q2,$0.00,400.0
17,17.0,Aleksandrs Samoilovs,Janis Smedins,Latvia,Q6,$0.00,400.0
18,17.0,Hasan Mermer,Safa Urlu,Türkiye,Q9,$0.00,400.0
19,21.0,Evan Cory,Logan Webber,United States,Q7,$0.00,340.0
20,21.0,Hood Al Jalaboubi,Mazin Alhashmi,Oman,Q8,$0.00,340.0
21,21.0,Timothy Brewster,Kyle Friend,United States,Q11,$0.00,340.0
22,21.0,Jake MacNeil,Alexander Russell,Canada,Q12,$0.00,340.0
23,21.0,Martins Plavins,Mihails Samoilovs,Latvia,Q13,$0.00,340.0
24,21.0,Artur Hajos,Bence Streli,Hungary,Q14,$0.00,340.0
25,21.0,Momme Lorenz,Jonas Reinhardt,Germany,Q15,$0.00,340.0
26,1.0,Raisa Schoon,Katja Stam,Netherlands,9,"$30,000.00",1200.0
27,2.0,Nina Brunner,Tanja Huberli,Switzerland,10,"$20,000.00",1100.0
28,3.0,Mariafe Artacho,Taliqua Clancy,Australia,5,"$14,000.00",1000.0
29,4.0,Tina Graudina,Anastasija Samoilova,Latvia,8,"$10,000.00",900.0
30,5.0,Duda Lisboa,Ana Patricia Silva,Brazil,1,"$8,000.00",760.0
31,5.0,Kelly Cheng,Sara Hughes,United States,2,"$8,000.00",760.0
32,5.0,Melissa Humana-Paredes,Brandie Wilkerson,Canada,7,"$8,000.00",760.0
33,5.0,Taryn Brasher,Kristen Nuss,United States,"14, Q2","$8,000.00",760.0
34,9.0,Carol Salgado,Barbara Seixas,Brazil,4,"$6,000.00",600.0
35,9.0,Sophie Bukovec,Sarah Pavan,Canada,6,"$6,000.00",600.0
36,9.0,Terese Cannon,Sarah Sponcil,United States,11,"$6,000.00",600.0
37,9.0,Barbora Hermannova,Marie-Sara Stochlova,Czech Republic,12,"$6,000.00",600.0
38,13.0,Svenja Muller,Cinja Tillmann,Germany,3,"$5,000.00",460.0
39,13.0,Talita Antunes,Thamela Coradelli,Brazil,"13, Q1","$5,000.00",460.0
40,13.0,Andressa Cavalcanti,Vitoria De Souza,Brazil,"15, Q3","$5,000.00",460.0
41,13.0,Karla Borger,Sandra Ittlinger,Germany,"16, Q4","$5,000.00",460.0
42,17.0,Hegeile Almeida,Taiana Lima,Brazil,Q5,$0.00,400.0
43,17.0,Miki Ishii,Sayaka Mizoe,Japan,Q6,$0.00,400.0
44,17.0,Megan Kraft,Emily Stockman,United States,Q7,$0.00,400.0
45,17.0,Esmee Bobner,Zoe Verge-Depre,Switzerland,Q9,$0.00,400.0
46,21.0,Daniela Alvarez,Tania Moreno,Spain,Q8,$0.00,340.0
47,21.0,Maria Carro,Angela Lobato,Spain,Q10,$0.00,340.0
48,21.0,Akiko Hasegawa,Yurika Sakaguchi,Japan,Q11,$0.00,340.0
49,21.0,Dorina Klinger,Ronja Klinger,Austria,Q12,$0.00,340.0
50,21.0,Inna Makhno,Iryna Makhno,Ukraine,Q13,$0.00,340.0
51,21.0,Tetiana Lazarenko,Diana Lunina,Ukraine,Q14,$0.00,340.0
52,21.0,Toni Rodriguez,Savvy Simo,United States,Q15,$0.00,340.0
53,1.0,Adrian Gavira,Pablo Herrera,Spain,4,"$10,000.00",800.0
54,2.0,Stefan Boermans,Yorick de Groot,Netherlands,16,"$8,000.00",760.0
55,3.0,Moritz Pristauz,Robin Seidl,Austria,11,"$7,000.00",720.0
